Date,Open,High,Low,Close,Adj Close,Volume
02/01/2012,990.869995,1001.330017,989.630005,1000.27002,1000.27002,0
03/01/2012,1004.25,1009.52002,1000.809998,1004.190002,1004.190002,303840800
04/01/2012,1003.049988,1008.200012,1001.01001,1005.700012,1005.700012,192298000
05/01/2012,1005.73999,1010.5,999.080017,1006.76001,1006.76001,436324600
08/01/2012,null,null,null,null,null,null
09/01/2012,1010.070007,1013.919983,1006.690002,1010.539978,1010.539978,435892200
10/01/2012,1018.619995,1027.349976,1017.799988,1027.349976,1027.349976,350559000
11/01/2012,1026.459961,1026.849976,1015.159973,1020.289978,1020.289978,435441800
12/01/2012,1020.869995,1029.290039,1020.27002,1024.939941,1024.939941,384995000
15/01/2012,null,null,null,null,null,null
16/01/2012,1011.619995,1017.200012,1007.599976,1017.200012,1017.200012,395531800
17/01/2012,1028.560059,1033.23999,1026.699951,1030.810059,1030.810059,305935600
18/01/2012,1028.810059,1035.719971,1023.640015,1027.660034,1027.660034,180320400
19/01/2012,1036.560059,1037.189941,1027.800049,1032.130005,1032.130005,272374800
22/01/2012,null,null,null,null,null,null
23/01/2012,1030.569946,1033.47998,1026.140015,1026.140015,1026.140015,315049600
24/01/2012,1025.630005,1026.599976,1010.039978,1018.25,1018.25,209027400
25/01/2012,1024.48999,1024.810059,1012.960022,1012.960022,1012.960022,222423400
26/01/2012,1020.599976,1024.469971,1018.659973,1024.319946,1024.319946,290110000
29/01/2012,null,null,null,null,null,null
30/01/2012,1010.98999,1011.869995,1005.919983,1008.719971,1008.719971,315266000
31/01/2012,1014.590027,1015.5,1011.130005,1013.700012,1013.700012,204637600
01/02/2012,1011.97998,1020.830017,1011.719971,1017.77002,1017.77002,153962400
02/02/2012,1021.619995,1022.719971,1015.619995,1017.349976,1017.349976,120048200
05/02/2012,null,null,null,null,null,null
06/02/2012,1022.799988,1023.900024,1013.150024,1013.460022,1013.460022,254802800
07/02/2012,1014.900024,1015.890015,1004.27002,1015.869995,1015.869995,229866800
12/02/2012,null,null,null,null,null,null
13/02/2012,1022.369995,1023.039978,1014.72998,1018.090027,1018.090027,252902400
14/02/2012,1016.950012,1018.809998,1012.700012,1013.72998,1013.72998,151037800
15/02/2012,1023.450012,1025.73999,1016.210022,1018.090027,1018.090027,154148600
16/02/2012,1012.539978,1013.919983,1007.340027,1010.26001,1010.26001,113288800
19/02/2012,null,null,null,null,null,null
20/02/2012,1017.280029,1020.580017,1013.48999,1018.73999,1018.73999,120920000
21/02/2012,1018.799988,1021.400024,1014.76001,1019.719971,1019.719971,228495200
22/02/2012,1021.72998,1022.890015,1016.75,1017.179993,1017.179993,179645800
23/02/2012,1012.590027,1013.900024,999.840027,999.840027,999.840027,275839200
